City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
369,hilo,19.7297,-155.09,302.75,65,0,3.09,US,1686343383
370,singarayakonda,15.25,80.0333,305.59,51,100,8.11,IN,1686343484
371,walvis bay,-22.9575,14.5053,285.98,87,0,2.57,NA,1686343484
372,guerrero negro,27.9769,-114.0611,293.5,58,13,8.24,MX,1686343485
373,boa vista,2.8197,-60.6733,304.14,62,40,2.57,BR,1686343485
374,bodo,67.28,14.405,282.47,77,0,1.03,NO,1686343485
375,uva,56.9908,52.1852,284.2,90,82,2.93,RU,1686343486
376,lucea,18.451,-78.1736,303.07,72,100,6.54,JM,1686343486
377,mount isa,-20.7333,139.5,285.02,43,6,3.09,AU,1686343486
378,al burayqah,30.4062,19.5739,294.45,79,2,4.66,LY,1686343487
379,nuku'alofa,-21.1333,-175.2,294.34,88,40,0.0,TO,1686343487
380,puerto armuelles,8.2833,-82.8667,301.14,88,100,2.24,PA,1686343488
381,strzyzow,49.8707,21.7941,291.27,95,81,0.5,PL,1686343488
382,suva,-18.1416,178.4415,292.86,100,40,2.06,FJ,1686343488
383,pingyin,36.2831,116.4453,295.96,41,100,2.54,CN,1686343489
384,yaren,-0.5472,166.916,299.55,80,100,0.52,NR,1686343489
385,port isabel,26.0734,-97.2086,308.2,52,0,4.12,US,1686343490
386,valka,57.7752,26.0101,281.51,71,8,2.42,LV,1686343490
387,chui,-33.6971,-53.4616,288.56,84,100,4.89,UY,1686343491
388,konduga,11.6558,13.4213,304.08,47,91,3.39,NG,1686343492
389,jordan springs,-33.725,150.7271,283.3,92,100,0.45,AU,1686343492
390,sarina,-21.4333,149.2167,291.82,57,0,3.01,AU,1686343492
391,adiake,5.2863,-3.304,298.6,88,62,3.56,CI,1686343493
392,pijijiapan,15.7011,-93.23,305.19,62,100,3.54,MX,1686343493
393,bonthe,7.5264,-12.505,299.44,85,88,2.37,SL,1686343494
394,cabo san lucas,22.8909,-109.9124,304.6,65,0,1.54,MX,1686343494
395,bucerias,20.75,-105.3333,304.81,65,20,6.17,MX,1686343495
396,sakaiminato,35.55,133.2333,291.14,100,75,2.57,JP,1686343495
397,sesheke,-17.4759,24.2968,293.73,30,6,1.64,ZM,1686343495
398,argostolion,38.1811,20.489,295.19,83,20,3.09,GR,1686343496
399,lerwick,60.1545,-1.1494,283.15,87,26,3.33,GB,1686343496
400,sisimiut,66.9395,-53.6735,277.3,94,100,6.58,GL,1686343497
401,yerofey pavlovich,53.9667,121.9667,285.58,90,89,1.15,RU,1686343497
402,kavieng,-2.5744,150.7967,300.5,78,32,2.18,PG,1686343498
403,zaza del medio,21.9961,-79.3669,301.07,80,93,3.95,CU,1686343498
404,were ilu,10.6,39.4333,286.46,58,56,2.62,ET,1686343499
405,yangiqo'rg'on,41.1906,71.7257,297.51,32,88,2.69,UZ,1686343499
406,tavda,58.0425,65.2726,282.63,67,84,0.39,RU,1686343499
407,broken hill,-31.95,141.4333,281.25,67,0,0.76,AU,1686343500
408,mpika,-11.8343,31.4529,289.73,61,37,1.44,ZM,1686343500
409,calliope,-24.0,151.2,289.65,82,0,2.06,AU,1686343501
410,nevel'sk,46.6733,141.8633,283.6,89,100,5.54,RU,1686343501
411,kalix,65.853,23.1565,279.95,72,15,1.9,SE,1686343502
412,katabu,-4.9333,122.5167,296.9,96,72,2.28,ID,1686343502
413,sao bento do sul,-26.2503,-49.3786,287.95,75,0,1.46,BR,1686343503
414,namibe,-15.1961,12.1522,292.06,78,2,1.8,AO,1686343503
415,sheopur,25.6667,76.7,307.11,24,0,3.02,IN,1686343504
416,gilmer,32.7287,-94.9424,307.27,38,40,0.0,US,1686343504
417,uturoa,-16.7333,-151.4333,299.92,64,81,7.39,PF,1686343505
418,itoman,26.1247,127.6694,300.36,92,75,4.12,JP,1686343505
419,warrnambool,-38.3833,142.4833,284.24,80,100,6.53,AU,1686343506
420,castillos,-34.1667,-53.8333,287.25,89,100,4.02,UY,1686343507
421,ishigaki,24.3448,124.1572,299.22,100,100,1.54,JP,1686343507
422,alo,7.4178,6.7371,297.27,94,99,1.75,NG,1686343508
423,ekangala,-25.6962,28.7492,282.8,40,0,4.89,ZA,1686343508
424,zheleznogorsk-ilimskiy,56.5768,104.1217,289.05,89,100,2.02,RU,1686343509
425,livingstonia,-10.606,34.1063,290.6,84,46,0.75,MW,1686343510
426,koungheul,13.9833,-14.8,310.26,23,0,2.19,SN,1686343510
427,manta,-0.95,-80.7333,304.03,89,40,7.6,EC,1686343510
428,mo i rana,66.3128,14.1428,284.44,56,0,2.68,NO,1686343511
429,siwa oasis,29.2041,25.5195,300.42,41,0,7.26,EG,1686343512
430,daru,-9.0763,143.2092,298.15,79,13,5.62,PG,1686343512
431,diamantino,-14.4086,-56.4461,301.95,45,14,0.73,BR,1686343432
432,obligado,-27.0333,-55.6333,302.47,58,0,2.23,PY,1686343513
433,odienne,9.51,-7.5692,297.57,80,20,2.71,CI,1686343514
434,necochea,-38.5473,-58.7368,283.15,48,88,6.25,AR,1686343514
435,mundri,-6.9558,111.71,296.05,88,4,2.58,ID,1686343514
436,jalai nur,49.45,117.7,286.03,79,100,5.7,CN,1686343515
437,mahanoro,-19.9,48.8,294.21,91,16,2.09,MG,1686343515
438,bayanhongor,46.7167,100.1167,283.31,67,74,1.4,MN,1686343516
439,kununurra,-15.7667,128.7333,296.14,64,75,3.6,AU,1686343502
440,sawakin,19.1059,37.3321,307.86,30,24,2.71,SD,1686343517
441,plastunovskaya,45.2939,39.2669,295.09,66,100,4.74,RU,1686343517
442,constantia,44.1833,28.65,289.65,78,35,2.17,RO,1686343369
443,karratha,-20.7377,116.8463,294.7,48,98,3.73,AU,1686343518
444,gaspe,48.8334,-64.4819,285.27,76,75,1.54,CA,1686343518
445,barobo,8.5353,126.1214,296.65,98,100,1.37,PH,1686343519
446,paphos,34.7667,32.4167,297.03,78,0,2.57,CY,1686343270
447,kruisfontein,-34.0033,24.7314,285.86,89,12,3.33,ZA,1686343520
448,businga,3.3333,20.8833,294.26,99,95,0.89,CD,1686343521
449,kargil,34.5667,76.1,282.78,38,0,1.66,IN,1686343521
450,khorugh,37.4897,71.553,290.08,55,0,0.59,TJ,1686343522
451,aoulef,26.9667,1.0833,310.2,16,0,4.95,DZ,1686343522
452,selkirk,50.1436,-96.8845,299.87,48,18,6.26,CA,1686343225
453,sikasso,10.9167,-7.0,302.99,49,4,2.57,ML,1686343523
454,richards bay,-28.783,32.0377,291.73,79,41,1.36,ZA,1686343524
455,weining,26.85,104.2333,286.44,62,100,1.92,CN,1686343524
456,san julian,21.0167,-102.1667,304.97,9,39,2.34,MX,1686343525
457,qaisumah,28.3112,46.1273,306.13,21,0,0.0,SA,1686343525
458,nakamura,32.9833,132.9333,292.15,92,100,0.86,JP,1686343526
459,metlili chaamba,32.2667,3.6333,309.67,12,0,3.09,DZ,1686343527
460,sao martinho,39.5144,-9.1311,293.47,82,99,0.45,PT,1686343527
461,dieppe,49.75,1.1667,294.25,81,12,4.05,FR,1686343528
462,quellon,-43.1167,-73.6167,279.29,93,75,3.6,CL,1686343528
463,conde,-7.2597,-34.9075,298.85,100,75,2.06,BR,1686343529
464,sao tome,0.3365,6.7273,299.17,83,75,4.12,ST,1686343529
465,andkhoy,36.9529,65.1238,301.44,26,9,5.62,AF,1686343530
466,mana,5.6592,-53.7767,300.29,83,22,3.2,GF,1686343530
467,primero de mayo,-32.2552,-58.4228,293.46,64,100,6.03,AR,1686343531
